x,y,speed,angle,front_dist,back_dist,left_dist,right_dist,collision,finish_distance,action,left_font_dist,right_font_dist,left_back_dist,right__back_dist
480.1,514.0,0.025,0.5,0.32589272,0.4021855,0.028256593,0.01883773,0.0,0.15410888,forward,0.025430935,0.040501118,0.041443005,0.024489047
480.3,514.0,0.05,0.5,0.32589272,0.4021855,0.028256593,0.01883773,0.0,0.15429667,forward,0.025430935,0.040501118,0.041443005,0.024489047
480.6,514.0,0.075,0.5,0.32589272,0.4021855,0.028256593,0.01883773,0.0,0.15457834,forward,0.025430935,0.040501118,0.041443005,0.024489047
481.0,514.0,0.1,0.5,0.3249508,0.4031274,0.028256593,0.01883773,0.0,0.15495391,forward,0.025430935,0.040501118,0.041443005,0.024489047
481.5,514.0,0.125,0.5,0.3249508,0.4031274,0.028256593,0.01883773,0.0,0.15542339,forward,0.025430935,0.040501118,0.041443005,0.024489047
482.1,514.0,0.15,0.5,0.32400894,0.40406927,0.028256593,0.01883773,0.0,0.15598677,forward,0.025430935,0.040501118,0.041443005,0.024489047
482.8,514.0,0.175,0.5,0.32400894,0.40406927,0.028256593,0.01883773,0.0,0.15664408,forward,0.025430935,0.040501118,0.041443005,0.024489047
483.6,514.0,0.2,0.5,0.32306704,0.40501118,0.028256593,0.01883773,0.0,0.15739529,forward,0.025430935,0.040501118,0.041443005,0.025430935
484.5,514.0,0.225,0.5,0.32212517,0.40595305,0.028256593,0.01883773,0.0,0.15824042,forward,0.025430935,0.040501118,0.041443005,0.025430935
485.5,514.0,0.25,0.5,0.32118326,0.40689495,0.028256593,0.01883773,0.0,0.15917951,forward,0.025430935,0.040501118,0.041443005,0.025430935
486.6,514.0,0.275,0.5,0.3202414,0.40783682,0.028256593,0.01883773,0.0,0.16021253,forward,0.025430935,0.040501118,0.041443005,0.025430935
491.35,514.0,0.2125,0.5222222,0.33154404,0.35132363,0.029198479,0.01883773,0.0,0.16467376,rotate_left,0.024489047,0.043326776,0.03955923,0.027314708
491.35,514.0,0.2125,0.54444444,0.14975995,0.21004067,0.029198479,0.01883773,0.0,0.16467376,rotate_left,0.022605274,0.047094323,0.03673357,0.030140366
491.35,514.0,0.2125,0.56666666,0.09136298,0.14128296,0.029198479,0.01883773,0.0,0.16467376,rotate_left,0.021663388,0.05274564,0.0348498,0.032024138
497.1210708443295,512.7733210241752,0.125,0.56666666,0.085711665,0.14693429,0.030140366,0.017895842,0.0,0.17001562,forward,0.020721503,0.054629415,0.035791684,0.031082252
497.7079594047698,512.6485740096845,0.15,0.56666666,0.08476978,0.14693429,0.031082252,0.017895842,0.0,0.17055963,forward,0.020721503,0.054629415,0.035791684,0.031082252
498.39266272528346,512.5030358261121,0.175,0.56666666,0.08382789,0.14787617,0.031082252,0.016953956,0.0,0.17119448,forward,0.019779615,0.054629415,0.035791684,0.031082252
499.1751808058705,512.3367064734579,0.2,0.56666666,0.08382789,0.14881806,0.031082252,0.016953956,0.0,0.17192025,forward,0.019779615,0.0555713,0.035791684,0.030140366
500.0555136465309,512.1495859517219,0.225,0.56666666,0.08288601,0.14975995,0.031082252,0.016953956,0.0,0.17273703,forward,0.019779615,0.0555713,0.035791684,0.030140366
503.8702892893928,511.3387303575326,0.2,0.54444444,0.13092221,0.22793652,0.031082252,0.016012069,0.0,0.17627977,rotate_right,0.019779615,0.051803753,0.038617343,0.02637282
504.76153055126025,511.21347456666854,0.225,0.5222222,0.31929952,0.37581268,0.031082252,0.016012069,0.0,0.17711149,rotate_right,0.020721503,0.047094323,0.041443005,0.023547161
505.7590946015201,511.1437180929244,0.25,0.5,0.30517122,0.42761645,0.031082252,0.016012069,0.0,0.17804617,rotate_right,0.021663388,0.044268664,0.044268664,0.021663388
506.8590946015201,511.1437180929244,0.275,0.47777778,0.27691463,0.20533125,0.031082252,0.016012069,0.0,0.17908075,rotate_right,0.023547161,0.041443005,0.048978094,0.020721503
513.9916775608779,511.642476880195,0.2125,0.47777778,0.2703214,0.21192445,0.031082252,0.016012069,0.0,0.18581437,forward,0.024489047,0.040501118,0.047094323,0.021663388
